Id,Label,startdate
79, angiotensin I-converting enzyme inhibitors,01/01/2010
80, angiotensin II type-1 receptor blockers,01/01/2010
81, animal models,01/01/2009
82, anoikis,01/01/2005
83, Anoxia,01/01/2013
84, anthracycline,01/01/2004
85, Anti-angiogenic therapy,01/01/2014
86, Antibiotic resistance,01/01/2013
87, antibiotics,01/01/2000
88, Antibodies,01/01/2012
89, antibody,01/01/2010
90, anticancer drugs,01/01/2012
91, Anti-EGFR monoclonal antibody,01/01/2012
92, Antimicrobial agents,01/01/2014
93, Antioxidants,01/01/2013
94, Anti-tumor activity,01/01/2013
95, anti-tumour activity,01/01/2010
96, Anxiety,01/01/2013
97, Apo2L&#x0002f;TRAIL,01/01/2003
98, Apoptosis,01/01/1999
99, area under the curve,01/01/2004
100, Ascites,01/01/2012
101, astrocytoma,01/01/1999
102, asynchronous contralateral breast cancer,01/01/2008
103, ATP-TCA,01/01/2003
104, autoimmune neutropenia,01/01/2013
105, autologous blood stem cell transplantation,01/01/2002
106, autologous bone marrow transplantation,01/01/2002
107, autologous stem cell transplantation,01/01/2006
108, autophagy,01/01/2013
109, axillary nodes,01/01/2001
110, axitinib,01/01/2012
111, Ayurveda,01/01/2010
112, Bacteremia,01/01/2013
113, bcl-2,01/01/1999
114, Bcl-2 family,01/01/2009
115, benchmark,01/01/2006
116, Bendamustine,01/01/2013
117, bevacizuamab,01/01/2007
118, bevacizumab,01/01/2008
119, bicarbonate,01/01/1999
120, bifocal tumour,01/01/1999
121, bilateral breast cancer,01/01/2012
122, biliary tract,01/01/2009
123, biliary tract cancer,01/01/2004
124, biliary tract neoplasms,01/01/2006
125, Bimatoprost,01/01/2014
126, Bioequivalence,01/01/2014
127, Bioinformatics,01/01/2012
128, Biological markers,01/01/2014
129, bioluminescence,01/01/2004
130, Biomarker,01/01/2010
131, biomarkers,01/01/2006
132, Biomedicine,01/01/2012
133, Biomedicine general,01/01/2012
134, Biotechnology &#x00026; Bioinformatics,01/01/2012
135, bisphosphonate,01/01/2012
136, Bladder cancer,01/01/2000
137, bleomycin,01/01/2011
138, blindness,01/01/2003
139, blood flow dynamics,01/01/2011
140, blood&#x02013;brain barrier,01/01/1999
141, bone marrow,01/01/1999
142, bone mineral density,01/01/2009
143, BRAF,01/01/2009
144, brain tumor,01/01/2009
145, brain tumour,01/01/1999
146, breakthrough disease,01/01/2010
147, breast,01/01/2000
148, breast cancer,01/01/1999
149, breast cancer cells,01/01/2008
150, Breast neoplasms,01/01/2002
151, Britain,01/01/2007
152, Bullous acrodermatitis enteropathica,01/01/2011
153, burden of illness,01/01/2011
154, CA 19&#x02013;9,01/01/2000
155, CA 19-9,01/01/2013
156, CA IX,01/01/2009
157, CA125,01/01/2004
158, CA19-9,01/01/2005
159, CA-19-9,01/01/2003
160, cabazitaxel,01/01/2014
161, Cachexia,01/01/2013
162, calcitriol,01/01/2003
163, cancer,01/01/2001
164, Cancer cell lines,01/01/2013
165, cancer networks,01/01/2007
166, Cancer of biliary tract,01/01/2012
167, cancer of the testis,01/01/2005
168, cancer plan,01/01/2007
169, Cancer Research,01/01/2012
170, Cancer stem cells,01/01/2011
171, Cancer stem-like cells,01/01/2012
172, cancer treatment,01/01/2004
173, Capecitabine,01/01/2002
174, Capillary leak syndrome,01/01/2013
175, carboplatin,01/01/1999
176, carboxylesterase,01/01/2002
177, carcinoma breast,01/01/2008
178, carcinoma of unknown primary,01/01/2013
179, Carcinoma with an unknown primary site,01/01/2013
180, carcinosarcoma,01/01/2003
181, Cardiology,01/01/2012
182, carnitine,01/01/2002
183, caspases,01/01/2007
184, Cauda equina syndrome,01/01/2013
185, CC531 colorectal carcinoma,01/01/2004
186, CD20,01/01/2013
187, CD34,01/01/2013
188, cDNA microarray,01/01/2002
189, CEA,01/01/2003
190, Cell Biology,01/01/2012
191, Cell death,01/01/2006
192, Cell line model,01/01/2012
193, cellular differentiation,01/01/2006
194, Ceramide,01/01/2014
195, cerebral metastases,01/01/2006
196, cervical cancer,01/01/2009
197, cervix,01/01/1999
198, Cetuximab,01/01/2008
199, chemoprotection,01/01/2001
200, chemoradiation,01/01/2003
201, chemo-radiation,01/01/2008
202, chemoradiotherapy,01/01/2006
203, chemoresistance,01/01/2011
204, Chemosensitivity,01/01/2012
205, chemotherapy,01/01/1999
206, Chemotherapy response,01/01/2012
207, Chemotherapy-induced thrombocytopenia,01/01/2013
208, child,01/01/1999
209, Child Health Questionnaire,01/01/2003
210, childhood cancer,01/01/2000
211, Children,01/01/1999
212, chlorambucil,01/01/2009
213, cholangiocarcinoma,01/01/2008
214, chronic disease,01/01/2001
215, chronic lymphocytic leukaemia,01/01/2011
216, circulating endothelial cells,01/01/2006
217, cisplatin,01/01/1999
218, cisplatin resistance,01/01/2014
219, cisplatinum,01/01/2003
220, clear cell carcinoma,01/01/2006
221, clinical benefit,01/01/2002
222, clinical factors,01/01/2008
223, CLINICAL PHYSIOLOGY,01/01/2013
224, clinical protocol,01/01/2011
225, clinical study,01/01/2001
226, clinical trial,01/01/2002
227, clinical trials,01/01/2007
228, Clinico-pathologic,01/01/2014
229, Clinicopathological features,01/01/2012
230, cognitive dissonance reduction,01/01/2001
231, Cognitive dysfunction,01/01/2006
232, Cognitive functioning,01/01/2009
233, Cognitive impairment,01/01/2013
234, colon cancer,01/01/2003
235, colonic neoplasms,01/01/2013
236, Colorectal cancer,01/01/1999
237, colorectal liver metastases,01/01/2010
238, Colorectal neoplasms,01/01/2012
239, combination effects,01/01/2006
240, combination treatment,01/01/2009
241, combined modality,01/01/2008
242, combined modality therapy,01/01/2008
243, combined modality treatment,01/01/2006
244, Communication,01/01/2008
245, Complementary,01/01/2013
246, Computerized physician order entry (CPOE) systems,01/01/2013
247, conditionally replicative adenovirus,01/01/2006
248, conditioned medium,01/01/2011
249, conservative surgery,01/01/1999
250, contralateral testicular germ cell tumour,01/01/2012
251, contrast enhancement,01/01/2006
252, Copper in human serum,01/01/2014
253, Copper reference level,01/01/2014
254, corticosteroids,01/01/2008
255, Cost,01/01/2011
256, cost effectiveness analysis,01/01/2002
257, Cost-effectiveness,01/01/2003
258, costs,01/01/1999
259, CPT-11,01/01/2002
260, Crizotinib,01/01/2014
261, cryotherapy,01/01/2009
262, CT,01/01/2013
263, CTC,01/01/2012
264, cumulative incidence,01/01/2012
265, Curcumin,01/01/2014
266, cyclin-dependent kinase,01/01/2001
267, Cyclin-dependent kinase inhibitor,01/01/2013
268, cyclophosphamide,01/01/2014
269, cyclotherapy,01/01/2013
270, CYFRA 21&#x02013;1,01/01/2013
271, CYFRA 21-1,01/01/2013
272, CYP2D6,01/01/2009
273, Cystectomy,01/01/2013
274, cytokeratin 18,01/01/2009
275, Cytoreductive surgery,01/01/2012
276, Cytostasis,01/01/2014
277, cytotoxic,01/01/1999
278, Cytotoxicity,01/01/2010
279, dacarbazine,01/01/2003
280, darbepoetin alfa,01/01/2001
281, DcR2,01/01/2003
282, decision aid,01/01/2008
283, Decisional conflict scale,01/01/2013
284, definitions,01/01/2010
285, dendritic cell,01/01/1999
286, dendritic cells,01/01/2009
287, Depression,01/01/2013
288, Dermatologic symptoms,01/01/2012
289, Dermatological epidemiology,01/01/2012
290, Dermatology,01/01/2012
291, detection,01/01/2012
292, dexamethasone,01/01/2006
293, diarrhoea,01/01/2013
294, Dietary supplements,01/01/2013
295, Differential equation based model,01/01/2013
296, Diffuse large B cell lymphoma,01/01/2013
297, diffuse large B-cell,01/01/2013
298, Diffuse large B-cell lymphoma,01/01/2012
299, diffusion study,01/01/2006
300, Disease-free survival,01/01/2014
301, disease-free survival rate,01/01/2012
302, DNA damage,01/01/2005
303, DNA methylation,01/01/2006
304, DNA vaccination,01/01/2012
305, docetaxel,01/01/1999
306, docosahexaenoic acid,01/01/2013
307, Dog,01/01/2014
308, dose banding,01/01/2012
309, dose escalation,01/01/1999
310, dose intensity,01/01/2004
311, dose standardisation,01/01/2012
312, dose-dense,01/01/2009
313, dose-dense chemotherapy,01/01/2002
314, dose-density,01/01/2011
315, Double Strand DNA Breaks,01/01/2011
316, Doxorubicin,01/01/1999
317, Driver mutation,01/01/2012
318, drug delivery,01/01/1999
319, Drug interactions,01/01/2014
320, drug resistance,01/01/2001
321, drug targeting,01/01/2008
322, duration of chemotherapy,01/01/2008
323, early death,01/01/1999
324, Early stage colon cancer,01/01/2014
325, economic evaluation,01/01/2003
326, education of patients,01/01/2012
327, Efficacy,01/01/2013
328, Efflux pump,01/01/2012
329, EGFR,01/01/2010
330, EGFR inhibitors,01/01/2013
331, EGFR mutation,01/01/2013
332, EGFR-TKI,01/01/2004
333, eicosapentaenoic acid,01/01/2013
334, elderly,01/01/2003
335, elderly breast cancer,01/01/2011
336, Elderly patients,01/01/2008
337, Electronic patient-reported outcome monitoring,01/01/2012
338, embryonal rhabdomyosarcoma,01/01/1999
339, Endocrine disorders,01/01/2012
340, endocrine sensitivity,01/01/2008
341, Endocrine therapy,01/01/2012
342, endocrine treatment,01/01/2006
343, endometrial cancer,01/01/2006
344, endometrial carcinoma,01/01/2002
345, Endoscopy,01/01/2012
346, Epidemiology,01/01/2011
347, epidermal growth factor,01/01/2009
348, epidermal growth factor receptor,01/01/2005
349, epidermoid cancer,01/01/2007
350, epigenetics,01/01/2006
351, epirubicin,01/01/2000
352, epirubicin (EPI),01/01/2002
353, epithelial ovarian carcinoma,01/01/2009
354, ERK,01/01/2012
355, erythropoietin,01/01/2001
356, Esophageal cancer,01/01/2012
357, Esthesioneuroblastoma,01/01/2012
358, Estrogen receptor,01/01/2012
359, ethics,01/01/2007
360, etoposide,01/01/2002
361, Ewing&#x02019;s sarcoma,01/01/2011
362, Ewing's tumour,01/01/2001
363, Exercise,01/01/2012
364, experimental treatment,01/01/2004
365, extra-cellular,01/01/2009
366, Extracellular matrix,01/01/2003
367, Extra-osseous,01/01/2011
368, Eyelashes,01/01/2014
369, fasting,01/01/2009
370, Fatigue,01/01/2002
371, Febrile neutropenia,01/01/2003
372, fertility,01/01/2014
373, fertility and premature ovarian failure,01/01/2007
374, fertility aspects,01/01/1999
375, Fertility Preservation,01/01/2011
376, fibroblast growth factors,01/01/2012
377, fibrosarcoma cells,01/01/2006
378, Filgrastim,01/01/2002
379, fine needle aspiration,01/01/2002
380, first line therapy,01/01/2002
381, fixed dose,01/01/2012
382, flavonoids,01/01/2001
383, FLT3 mutation,01/01/2013
384, Fludarabine Phosphate (Fludara),01/01/2011
385, fluorouracil,01/01/2000
386, fluorouracil derivative,01/01/1999
387, FMCA,01/01/2013
388, Folliculogenesis,01/01/2013
389, fotemustine,01/01/2003
390, fractionated cisplatin,01/01/2004
391, fracture,01/01/2012
392, FSFI,01/01/2012
393, FSH,01/01/1999
394, Functional capacity,01/01/2013
395, gallbladder cancer,01/01/2009
396, gallbladder carcinoma,01/01/2008
397, gamma-glutamyl transpeptidase,01/01/2005
398, gastric cancer,01/01/1999
399, gastric MALT lymphomas,01/01/2009
400, gastrointestinal adenocarcinomas,01/01/2009
401, Gastrointestinal lymphoma,01/01/2012
402, Gastrointestinal tumours,01/01/2012
403, gastro-oesophageal cancer,01/01/2000
404, G-CSF,01/01/2013
405, gefitinib (&#x02018;Iressa&#x02019;),01/01/2004
406, gemcitabine,01/01/2000
407, gemcitabine (GEM),01/01/2002
408, Gene activation,01/01/2013
409, Gene directed enzyme prodrug therapy (GDEPT),01/01/2011
410, gene expression,01/01/2002
411, Gene expression profiling,01/01/2012
412, gene microarray,01/01/2005
413, Gene signatures,01/01/2012
414, Gene therapy,01/01/2014
415, gene vaccines,01/01/2004
416, genes,01/01/2008
417, Genetic instability,01/01/2012
418, Genomic profile,01/01/2013
419, genotype,01/01/2012
420, Germ cell,01/01/2013
421, germ cell tumour,01/01/2000
422, germ cell tumours,01/01/2003
423, germ-cell tumour,01/01/2005
424, germ-cell tumours,01/01/2002
425, germinoma,01/01/1999
426, gestational trophoblastic disease,01/01/2006
427, gestational trophoblastic neoplasia,01/01/2007
428, glatiramer acetate,01/01/2010
429, Glioblastoma,01/01/2006
430, glioblastoma multiforme,01/01/2000
431, glioma,01/01/1999
432, glioma cells,01/01/1999
433, Glivec,01/01/2003
434, glutathione,01/01/1999
435, glycolysis,01/01/1999
436, gonadotrophin,01/01/1999
437, gossypol,01/01/2011
438, Granulocyte colony-stimulating factor,01/01/2009
439, growth factor,01/01/2001
440, growth factor receptor,01/01/2001
441, growth factors,01/01/2011
442, Guanine,01/01/2014
443, GWAS,01/01/2012
444, haematopoietic stem cell transplantation,01/01/2002
445, haemodialysis,01/01/2003
446, Head and neck cancer,01/01/2006
447, head and neck squamous cell carcinoma,01/01/2001
448, head-and-neck cancer,01/01/2008
449, Health counseling,01/01/2013
450, Health informatics,01/01/2012
451, Health outcomes,01/01/2012
452, health personnel,01/01/2012
453, health services,01/01/2003
454, Health Services Administration &#x00026; Management,01/01/2012
455, Health Utilities Index,01/01/2003
456, health-related quality of life,01/01/2003
457, Hematologic malignancy,01/01/2013
458, hepatic epithelioid haemangio-endothelioma,01/01/2004
459, hepatitis B reactivation,01/01/2013
460, hepatitis B screening,01/01/2013
461, Hepatitis B virus,01/01/2013
462, hepatitis B virus reactivation,01/01/2004
463, Hepatitis B virus screening,01/01/2013
464, hepatocellular cancer,01/01/2009
465, hepatocellular carcinoma,01/01/2001
466, high performance thin layer chromatography,01/01/2012
467, high-dose,01/01/2001
468, high-grade glioma,01/01/2002
469, high-grade gliomas,01/01/2000
470, HLA1,01/01/2009
471, Hodgkin lymphoma,01/01/2007
472, Hodgkin's disease,01/01/2012
473, Hodgkin's lymphoma,01/01/2007
474, hormonal therapy,01/01/2004
475, hormone receptor,01/01/2012
476, hormone resistant,01/01/2004
477, hormone therapy,01/01/2008
478, hormones,01/01/1999
479, Hospitalisation,01/01/2013
480, hospitalization,01/01/2003
481, human,01/01/1999
482, Human amniotic fluid stem cells,01/01/2013
483, human chorionic,01/01/1999
484, Human papillomavirus,01/01/2013
485, human tumours,01/01/1999
486, Hyaluronan,01/01/2013
487, hyperbaric oxygen,01/01/2006
488, Hypersensitivity reaction,01/01/2003
489, Hypotrichosis,01/01/2014
490, Hypoxia,01/01/2005
491, Hypoxic incubator,01/01/2013
492, Idarubicin,01/01/2012
493, ifosfamide,01/01/2004
494, IGF-I,01/01/2009
495, Illness index,01/01/2014
496, Imaging,01/01/2006
497, Immune system,01/01/2013
498, immune-modulation,01/01/2012
499, immunocytochemistry,01/01/1999
500, immunohistochemistry,01/01/2012
501, Immunophenotype,01/01/2012
502, immunotherapy,01/01/1999
503, immunovisibility,01/01/2009
504, IMRT,01/01/2013
505, incidence,01/01/2009
506, induction,01/01/2008
507, infants,01/01/2003
508, infection,01/01/2011
509, Infections,01/01/2013
510, Infertility,01/01/2003
511, Inflammatory breast carcinoma,01/01/2006
512, influenza,01/01/2011
513, Information technology,01/01/2013
514, informed consent,01/01/2008
515, intelligence quotient,01/01/2012
516, interferon,01/01/2010
517, interferon alpha,01/01/2002
518, interferon-<italic>&#x003b1;</italic>,01/01/2006
519, Interleukin 6,01/01/2014
520, interleukin-1<italic>&#x003b2;</italic>,01/01/2013
521, interleukin-2,01/01/2002
522, interleukin-6,01/01/2013
523, internal jugular vein,01/01/2012
524, International Germ-Cell Cancer Consensus Group,01/01/2002
525, internet,01/01/2012
526, interstitial lung disease,01/01/2004
527, intestinal,01/01/2013
528, intestinal injury,01/01/2005
529, Intra-arterial infusion,01/01/2014
530, intracavital therapy,01/01/1999
531, intradermal,01/01/2002
532, intramedullary tumour,01/01/1999
533, intra-pleural,01/01/2002
534, Intrathecal injections,01/01/2013
535, intra-tumoural,01/01/2009
536, intratumoural injection,01/01/2002
537, intravenous infusions,01/01/2002
538, irinotecan,01/01/2002
539, irradiation,01/01/1999
540, Iscador,01/01/2014
541, ischemia,01/01/2013
542, Ischemic stroke,01/01/2014
543, isoCA-4 combretastatin isomer,01/01/2014
544, Japanese,01/01/2014
545, Kampo medicine,01/01/2014
546, LAMP-2,01/01/2013
547, Late effects,01/01/2012
548, LDL receptor,01/01/2012
549, Leiomyosarcoma,01/01/2012
550, leucovorin,01/01/2004
551, leukemia,01/01/2013
552, Lipoproteins,01/01/2012
553, liposomal doxorubicin,01/01/2001
554, Liver metastasis,01/01/2012
555, liver transplantation,01/01/2004
556, liver tumour,01/01/2004
557, local irradiation,01/01/1999
558, local protocols,01/01/2009
559, locally advanced,01/01/2004
560, Locally advanced rectal cancer,01/01/2014
561, Log-normal distribution,01/01/2014
562, Log-stable distribution,01/01/2014
563, lomustine,01/01/2006
564, longitudinal studies,01/01/2000
565, long-term risk,01/01/2008
566, long-term survival,01/01/2003
567, Loss of heterozygosity,01/01/2007
568, LRP,01/01/2001
569, LRP-1 receptor,01/01/2012
570, luciferase,01/01/2004
571, Lung adenocarcinoma,01/01/2013
572, lung cancer,01/01/2000
573, lung metastasis,01/01/2006
574, LY231514,01/01/2001
575, lymph node metastasis,01/01/2006
576, lymphadenectomy,01/01/2002
577, Lymphoblastoid cell lines,01/01/2012
578, lymphoma,01/01/2006
579, Lymphopenia,01/01/2001
580, magnetic resonance,01/01/2006
581, Magnetic resonance imaging,01/01/2013
582, magnetic resonance spectroscopy (MRS),01/01/1999
583, maintenance,01/01/2011
584, Male,01/01/2013
585, malignant effusion,01/01/1999
586, malignant melanoma,01/01/2007
587, malignant pleural mesothelioma,01/01/2003
588, Malignant soft tissue tumors,01/01/2013
589, management,01/01/2001
590, MANOVA,01/01/2012
591, Mantle cell lymphoma,01/01/2014
592, MAP kinase,01/01/2007
593, mathematical models,01/01/2000
594, maxillary sinus,01/01/2013
595, Maximal oxygen uptake (VO<sub>2</sub>peak),01/01/2013
596, MB49 cell line,01/01/2013
597, Mcl-1,01/01/2011
598, Mediastinal lymph node,01/01/2013
599, Mediastinal mass,01/01/2013
600, medical oncology,01/01/2011
601, Medical Research Council,01/01/2007
602, Medicine,01/01/2013
603, medullary thyroid carcinoma,01/01/2000
604, megatherapy,01/01/2002
605, melanoma,01/01/2002
606, melatonin,01/01/1999
607, Mesoporous silica,01/01/2013
608, mesothelin,01/01/2009
609, mesothelioma,01/01/2000
610, meta-analyses,01/01/2008
611, meta-analysis,01/01/2000
612, metachronous metastases,01/01/2010
613, metastasectomy,01/01/2013
614, metastasis,01/01/2000
615, metastatic,01/01/2009
616, metastatic breast cancer,01/01/2002
617, metastatic colorectal cancer,01/01/2002
618, metastatic disease,01/01/2003
619, metastatic gastric cancer,01/01/2004
620, metastatic renal cancer,01/01/2006
621, metastatic site,01/01/1999
622, methotrexate,01/01/2004
623, micro array,01/01/2013
624, microarray,01/01/2004
625, microarrays,01/01/2008
626, microenvironment,01/01/2005
627, micrometastases,01/01/1999
628, micronuclei,01/01/2003
629, Micropapillary,01/01/2013
630, Microparticles,01/01/2013
631, microRNAs,01/01/2012
632, Microsatellite instability,01/01/2014
633, Microsatellites,01/01/2012
634, Microstructure,01/01/2013
635, microvesicles,01/01/2012
636, microvessel,01/01/1999
637, microvessel density,01/01/2002
638, migration,01/01/2012
639, minimally invasive surgery,01/01/2010
640, miR-17,01/01/2013
641, miRNA,01/01/2013
642, Mismatch repair,01/01/2009
643, Mistletoe (<italic>Viscum album</italic> L.),01/01/2014
644, mistletoe therapy,01/01/2012
645, mitochondrial DNA,01/01/2006
646, mitomycin,01/01/2001
647, mitomycin C,01/01/2003
648, mitoxantrone,01/01/2003
649, MMP-2,01/01/2003
650, MnSOD,01/01/2008
651, modified radical mastectomy,01/01/2013
652, Molecular chemotherapy,01/01/2011
653, molecular subtypes,01/01/2006
654, molecular targeted agents,01/01/2005
655, Mortality,01/01/2006
656, Motesanib,01/01/2012
657, MR,01/01/2006
658, MRI,01/01/2010
659, MRS,01/01/1999
660, mTOR,01/01/2009
661, MTS,01/01/1999
662, MUC4,01/01/2009
663, mucinous,01/01/2009
664, mucinous cystadenocarcinoma,01/01/2011
665, Mucositis,01/01/2014
666, multicellular resistance,01/01/2005
667, multidrug resistant,01/01/2001
668, multimodality,01/01/2008
669, multiphase model,01/01/2011
670, multitargeted antifolate,01/01/2001
671, Muscle strength,01/01/2012
672, mutation,01/01/2006
673, mycobacterium vaccae,01/01/2000
674, Myelosuppression,01/01/2003
675, Myelosuppression grading,01/01/2013
676, myelotoxicity,01/01/1999
677, Nab-paclitaxel,01/01/2013
678, Nanoemulsion,01/01/2012
679, nanomedicine,01/01/2008
680, Nanoparticles,01/01/2010
681, Nasal tumors,01/01/2012
682, nasopharyngeal carcinoma,01/01/2003
683, National audit,01/01/2008
684, national survey,01/01/2001
685, nausea,01/01/2006
686, necrosis,01/01/2013
687, neoadjuvant,01/01/2001
688, Neo-adjuvant,01/01/2013
689, neoadjuvant therapy,01/01/2008
690, Neoplasm,01/01/2003
691, neoplasms,01/01/2000
692, nephrotoxicity,01/01/1999
693, neuroblastoma,01/01/2002
694, neuropsychology,01/01/2003
695, Neutropenia,01/01/2003
696, neutropenic sepsis,01/01/2011
697, neutrophil,01/01/2002
698, new telomerase assay,01/01/1999
699, NF-&#x003ba;B,01/01/2003
700, NICE,01/01/2002
701, NICE guidance,01/01/2011
702, nm23,01/01/1999
703, nomogram,01/01/2012
704, non small cell lung cancer,01/01/2002
705, non-Hodgkin lymphoma,01/01/2006
706, non-Hodgkin&#x02019;s lymphoma,01/01/1999
707, non-Hodgkin's lymphoma,01/01/2001
708, non-Newtonian,01/01/2011
709, non-seminomatous germ cell-tumours,01/01/2002
710, non-small cell lung cancer,01/01/1999
711, non-small cell lung carcinoma,01/01/2002
712, non-small-cell lung cancer,01/01/2000
713, NPM1 mutation,01/01/2013
714, NRP-2,01/01/2013
715, NRSE,01/01/2012
716, NRSF,01/01/2012
717, NSCLC,01/01/2004
718, nurses,01/01/2012
719, nutlin-3,01/01/2013
720, nutritional status,01/01/2002
721, observation,01/01/2009
722, Odontogenic septicemia,01/01/2013
723, oesophageal cancer,01/01/2003
724, oesophageal carcinoma,01/01/2006
725, oesophageal squamous cell carcinoma,01/01/1999
726, oesophagus,01/01/2003
727, oesophagus squamous cell carcinoma,01/01/2012
728, oestradiol,01/01/1999
729, oestrogen receptor,01/01/2009
730, OK-432 (Picibanil),01/01/1999
731, Olfactory neuroblastoma,01/01/2012
732, oligoastrocytoma,01/01/2000
733, oligodendroglioma,01/01/2000
734, oncogenes,01/01/2004
735, Oncology,01/01/2012
736, Ophthalmology,01/01/2012
737, opportunity cost,01/01/2011
738, Optic neuropathy,01/01/2014
739, optic pathway glioma,01/01/2003
740, oral,01/01/1999
741, Oral carcinoma,01/01/2014
742, oropharyngeal cancer,01/01/2000
743, osteopontin,01/01/2012
744, Osteosarcoma,01/01/2003
745, outcome,01/01/2011
746, Outpatient,01/01/2004
747, Outpatient management,01/01/2013
748, Ovarian cancer,01/01/2002
749, Ovarian carcinoma,01/01/2001
750, ovarian cysts,01/01/1999
751, ovarian neoplasms,01/01/2004
752, ovarian reserve,01/01/2007
753, Ovary,01/01/2006
754, overall survival,01/01/2010
755, oxaliplatin,01/01/2003
756, P276-00,01/01/2013
757, p44/42 MAPK,01/01/2003
758, p53,01/01/2003
759, p53-antibodies,01/01/2000
760, P90RSK,01/01/2012
761, paclitaxel,01/01/1999
762, paediatric oncology patient,01/01/2008
763, palliative,01/01/2001
764, Palliative care,01/01/2013
765, pancreas,01/01/2005
766, pancreatic cancer,01/01/1999
767, Panitumumab,01/01/2008
768, pathologic complete response,01/01/2011
769, pathological response,01/01/2010
770, pathology,01/01/2003
771, Patient data,01/01/2012
772, Patient satisfaction,01/01/2014
773, patient specific model,01/01/2011
774, Patient-centered care,01/01/2013
775, PD-ECGF,01/01/2014
776, pediatric,01/01/2003
777, Pemetrexed,01/01/2008
778, pemetrexed disodium,01/01/2001
779, pentacyclic triterpenes,01/01/1999
780, performance status,01/01/2004
781, peripheral blood stem cell,01/01/2002
782, Peritoneum,01/01/2013
783, Personalized medicine,01/01/2013
784, PET,01/01/2008
785, PFTK1,01/01/2012
786, pH,01/01/2009
787, Pharmacist,01/01/2013
788, Pharmacogenomics,01/01/2012
789, pharmacokinetics,01/01/1999
790, pharmacology,01/01/2013
791, Pharmacotherapy,01/01/2013
792, phase I&#x0002f;II study,01/01/2003
793, phase II,01/01/2004
794, phase II clinical trial,01/01/2007
795, phase II study,01/01/1999
796, phase III trial,01/01/2003
797, phospholipids,01/01/2002
798, phototherapy,01/01/2006
799, Physical and functional capacity,01/01/2013
800, Physical function,01/01/2012
801, physician&#x02013;patient communication,01/01/2004
802, physicians,01/01/2012
803, PI3K,01/01/2009
